project_id,project_key,issue_id,issue_key,issue_type_id,issue_type_name,issue_title,issue_created_date,issue_points,changelog_id,status_from_id,status_from_name,status_to_id,status_to_name,status_from_category_name,status_to_category_name,status_change_date,sprint_id,sprint_name
10286,PKGS,25537,PKGS-594,10003,Sub-task,[QA] - Testes de Qualidade,2025-09-23T18:46:46.146000+00:00,0,145811,10135,In Development,10146,Done,In Progress,Done,2025-09-24T20:34:05.110000+00:00,1362,3 Sprint 1
10286,PKGS,25539,PKGS-595,10003,Sub-task,[SERVER] Lógica para validação e encerramento da mão quando todos foldam,2025-09-23T18:54:31.783000+00:00,0,149051,10144,To do,10135,In Development,To Do,In Progress,2025-10-08T18:40:56.972000+00:00,1527,3 Sprint 2
10286,PKGS,25539,PKGS-595,10003,Sub-task,[SERVER] Lógica para validação e encerramento da mão quando todos foldam,2025-09-23T18:54:31.783000+00:00,0,149692,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-09T19:46:53.989000+00:00,1527,3 Sprint 2
10286,PKGS,25539,PKGS-595,10003,Sub-task,[SERVER] Lógica para validação e encerramento da mão quando todos foldam,2025-09-23T18:54:31.783000+00:00,0,149991,10168,Code review,10146,Done,In Progress,Done,2025-10-10T14:04:03.962000+00:00,1527,3 Sprint 2
10286,PKGS,25541,PKGS-596,10003,Sub-task,[SERVER] Lógica de fast-forward quando todos dão all-in,2025-09-23T18:55:03.965000+00:00,0,149976,10144,To do,10135,In Development,To Do,In Progress,2025-10-10T13:33:37.639000+00:00,1527,3 Sprint 2
10286,PKGS,25541,PKGS-596,10003,Sub-task,[SERVER] Lógica de fast-forward quando todos dão all-in,2025-09-23T18:55:03.965000+00:00,0,150804,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-14T19:43:22.223000+00:00,1527,3 Sprint 2
10286,PKGS,25541,PKGS-596,10003,Sub-task,[SERVER] Lógica de fast-forward quando todos dão all-in,2025-09-23T18:55:03.965000+00:00,0,150977,10168,Code review,10146,Done,In Progress,Done,2025-10-15T13:18:32.172000+00:00,1527,3 Sprint 2
10286,PKGS,25543,PKGS-597,10003,Sub-task,[SERVER] Validação do fluxo quando todos participam até a ultima street,2025-09-23T18:55:41.963000+00:00,0,149694,10144,To do,10135,In Development,To Do,In Progress,2025-10-09T19:47:29.951000+00:00,1527,3 Sprint 2
10286,PKGS,25543,PKGS-597,10003,Sub-task,[SERVER] Validação do fluxo quando todos participam até a ultima street,2025-09-23T18:55:41.963000+00:00,0,149971,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-10T13:31:24.467000+00:00,1527,3 Sprint 2
10286,PKGS,25543,PKGS-597,10003,Sub-task,[SERVER] Validação do fluxo quando todos participam até a ultima street,2025-09-23T18:55:41.963000+00:00,0,149974,10168,Code review,10146,Done,In Progress,Done,2025-10-10T13:31:49.117000+00:00,1527,3 Sprint 2
10286,PKGS,25545,PKGS-598,10003,Sub-task,[UNITY] Visualização das cartas no fast foward,2025-09-23T18:56:57.575000+00:00,0,150638,10144,To do,10135,In Development,To Do,In Progress,2025-10-14T12:38:52.983000+00:00,1527,3 Sprint 2
10286,PKGS,25545,PKGS-598,10003,Sub-task,[UNITY] Visualização das cartas no fast foward,2025-09-23T18:56:57.575000+00:00,0,150981,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-15T13:23:49.814000+00:00,1527,3 Sprint 2
10286,PKGS,25545,PKGS-598,10003,Sub-task,[UNITY] Visualização das cartas no fast foward,2025-09-23T18:56:57.575000+00:00,0,151473,10168,Code review,10146,Done,In Progress,Done,2025-10-16T18:33:23.667000+00:00,1527,3 Sprint 2
10286,PKGS,25547,PKGS-599,10003,Sub-task,[SERVER] Propagação da informação de finalização de mão com o client,2025-09-23T19:09:05.541000+00:00,0,150749,10144,To do,10135,In Development,To Do,In Progress,2025-10-14T13:54:04.131000+00:00,1527,3 Sprint 2
10286,PKGS,25547,PKGS-599,10003,Sub-task,[SERVER] Propagação da informação de finalização de mão com o client,2025-09-23T19:09:05.541000+00:00,0,150805,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-14T19:43:24.782000+00:00,1527,3 Sprint 2
10286,PKGS,25547,PKGS-599,10003,Sub-task,[SERVER] Propagação da informação de finalização de mão com o client,2025-09-23T19:09:05.541000+00:00,0,150978,10168,Code review,10146,Done,In Progress,Done,2025-10-15T13:18:34.951000+00:00,1527,3 Sprint 2
10286,PKGS,25549,PKGS-600,10003,Sub-task,[SERVER] Testes unitários no gameService para o encerramento de mão,2025-09-23T19:09:28.944000+00:00,0,150898,10144,To do,10135,In Development,To Do,In Progress,2025-10-15T12:20:04.096000+00:00,1527,3 Sprint 2
10286,PKGS,25549,PKGS-600,10003,Sub-task,[SERVER] Testes unitários no gameService para o encerramento de mão,2025-09-23T19:09:28.944000+00:00,0,151049,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-15T17:25:36.163000+00:00,1527,3 Sprint 2
10286,PKGS,25549,PKGS-600,10003,Sub-task,[SERVER] Testes unitários no gameService para o encerramento de mão,2025-09-23T19:09:28.944000+00:00,0,151066,10168,Code review,10146,Done,In Progress,Done,2025-10-15T18:09:20.920000+00:00,1527,3 Sprint 2
10286,PKGS,25551,PKGS-601,10003,Sub-task,[SERVER] Validação de mãos para N players na mesa,2025-09-23T19:22:46.003000+00:00,0,151155,10144,To do,10135,In Development,To Do,In Progress,2025-10-15T20:06:38.627000+00:00,1527,3 Sprint 2
10286,PKGS,25551,PKGS-601,10003,Sub-task,[SERVER] Validação de mãos para N players na mesa,2025-09-23T19:22:46.003000+00:00,0,151591,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-16T22:33:06.761000+00:00,1527,3 Sprint 2
10286,PKGS,25551,PKGS-601,10003,Sub-task,[SERVER] Validação de mãos para N players na mesa,2025-09-23T19:22:46.003000+00:00,0,151766,10168,Code review,10146,Done,In Progress,Done,2025-10-17T20:08:26.870000+00:00,1527,3 Sprint 2
10286,PKGS,25553,PKGS-602,10003,Sub-task,[SERVER] Integração do serviço de validação de mãos com o gameService,2025-09-23T19:25:01.032000+00:00,0,151490,10144,To do,10135,In Development,To Do,In Progress,2025-10-16T19:17:48.929000+00:00,1527,3 Sprint 2
10286,PKGS,25553,PKGS-602,10003,Sub-task,[SERVER] Integração do serviço de validação de mãos com o gameService,2025-09-23T19:25:01.032000+00:00,0,151592,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-16T22:33:08.856000+00:00,1527,3 Sprint 2
10286,PKGS,25553,PKGS-602,10003,Sub-task,[SERVER] Integração do serviço de validação de mãos com o gameService,2025-09-23T19:25:01.032000+00:00,0,151767,10168,Code review,10146,Done,In Progress,Done,2025-10-17T20:08:30.218000+00:00,1527,3 Sprint 2
10286,PKGS,25555,PKGS-603,10003,Sub-task,[SERVER] Propagação do ganhador para a room,2025-09-23T19:26:59.794000+00:00,0,151617,10144,To do,10135,In Development,To Do,In Progress,2025-10-17T13:18:30.119000+00:00,1527,3 Sprint 2
10286,PKGS,25555,PKGS-603,10003,Sub-task,[SERVER] Propagação do ganhador para a room,2025-09-23T19:26:59.794000+00:00,0,153245,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-27T12:04:26.222000+00:00,1626,3 Sprint 3
10286,PKGS,25555,PKGS-603,10003,Sub-task,[SERVER] Propagação do ganhador para a room,2025-09-23T19:26:59.794000+00:00,0,153352,10168,Code review,10146,Done,In Progress,Done,2025-10-27T13:32:49.508000+00:00,1626,3 Sprint 3
10286,PKGS,25557,PKGS-604,10003,Sub-task,[SERVER] Validação e lógica para lightcards,2025-09-23T19:27:25.779000+00:00,0,151423,10144,To do,10135,In Development,To Do,In Progress,2025-10-16T17:40:40.652000+00:00,1527,3 Sprint 2
10286,PKGS,25557,PKGS-604,10003,Sub-task,[SERVER] Validação e lógica para lightcards,2025-09-23T19:27:25.779000+00:00,0,153063,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-24T12:16:21.528000+00:00,1626,3 Sprint 3
10286,PKGS,25557,PKGS-604,10003,Sub-task,[SERVER] Validação e lógica para lightcards,2025-09-23T19:27:25.779000+00:00,0,153070,10168,Code review,10146,Done,In Progress,Done,2025-10-24T12:36:12.130000+00:00,1626,3 Sprint 3
10286,PKGS,25559,PKGS-605,10003,Sub-task,[UNITY] Integração lightcards no schema,2025-09-23T19:28:02.877000+00:00,0,151625,10144,To do,10135,In Development,To Do,In Progress,2025-10-17T13:32:44.832000+00:00,1527,3 Sprint 2
10286,PKGS,25559,PKGS-605,10003,Sub-task,[UNITY] Integração lightcards no schema,2025-09-23T19:28:02.877000+00:00,0,153367,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-27T13:47:26.949000+00:00,1626,3 Sprint 3
10286,PKGS,25559,PKGS-605,10003,Sub-task,[UNITY] Integração lightcards no schema,2025-09-23T19:28:02.877000+00:00,0,153586,10168,Code review,10146,Done,In Progress,Done,2025-10-28T12:35:41.694000+00:00,1626,3 Sprint 3
10286,PKGS,25561,PKGS-606,10003,Sub-task,[SERVER] Validação de empate para N players na mesa,2025-09-23T19:29:24.099000+00:00,0,151598,10144,To do,10135,In Development,To Do,In Progress,2025-10-17T11:41:09.678000+00:00,1527,3 Sprint 2
10286,PKGS,25561,PKGS-606,10003,Sub-task,[SERVER] Validação de empate para N players na mesa,2025-09-23T19:29:24.099000+00:00,0,151815,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-20T14:43:38.687000+00:00,1527,3 Sprint 2
10286,PKGS,25561,PKGS-606,10003,Sub-task,[SERVER] Validação de empate para N players na mesa,2025-09-23T19:29:24.099000+00:00,0,151835,10168,Code review,10146,Done,In Progress,Done,2025-10-20T17:06:13.442000+00:00,1527,3 Sprint 2
10286,PKGS,25563,PKGS-607,10003,Sub-task,[SERVER] Preparação e estruturação para ganhadores em N pots,2025-09-23T19:30:00.437000+00:00,0,151593,10144,To do,10135,In Development,To Do,In Progress,2025-10-16T22:33:22.261000+00:00,1527,3 Sprint 2
10286,PKGS,25563,PKGS-607,10003,Sub-task,[SERVER] Preparação e estruturação para ganhadores em N pots,2025-09-23T19:30:00.437000+00:00,0,151595,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-16T23:01:56.171000+00:00,1527,3 Sprint 2
10286,PKGS,25563,PKGS-607,10003,Sub-task,[SERVER] Preparação e estruturação para ganhadores em N pots,2025-09-23T19:30:00.437000+00:00,0,151768,10168,Code review,10146,Done,In Progress,Done,2025-10-17T20:08:32.634000+00:00,1527,3 Sprint 2
10286,PKGS,25565,PKGS-608,10003,Sub-task,[SERVER] Testes unitários no gameService de validação de mãos para N players,2025-09-23T19:30:56.981000+00:00,0,151984,10144,To do,10135,In Development,To Do,In Progress,2025-10-21T11:41:57.704000+00:00,1527,3 Sprint 2
10286,PKGS,25565,PKGS-608,10003,Sub-task,[SERVER] Testes unitários no gameService de validação de mãos para N players,2025-09-23T19:30:56.981000+00:00,0,152963,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-23T18:50:01.830000+00:00,1626,3 Sprint 3
10286,PKGS,25565,PKGS-608,10003,Sub-task,[SERVER] Testes unitários no gameService de validação de mãos para N players,2025-09-23T19:30:56.981000+00:00,0,153164,10168,Code review,10146,Done,In Progress,Done,2025-10-24T14:52:16.018000+00:00,1626,3 Sprint 3
10286,PKGS,25567,PKGS-609,10003,Sub-task,[SERVER] Testes unitários no service de validação de mãos,2025-09-23T19:34:16.986000+00:00,0,151836,10144,To do,10135,In Development,To Do,In Progress,2025-10-20T17:06:16.685000+00:00,1527,3 Sprint 2
10286,PKGS,25567,PKGS-609,10003,Sub-task,[SERVER] Testes unitários no service de validação de mãos,2025-09-23T19:34:16.986000+00:00,0,151976,10135,In Development,10168,Code review,In Progress,In Progress,2025-10-20T23:49:11.410000+00:00,1527,3 Sprint 2
10286,PKGS,25567,PKGS-609,10003,Sub-task,[SERVER] Testes unitários no service de validação de mãos,2025-09-23T19:34:16.986000+00:00,0,151982,10168,Code review,10146,Done,In Progress,Done,2025-10-21T11:40:01.139000+00:00,1527,3 Sprint 2
10286,PKGS,25569,PKGS-610,10003,Sub-task,[SERVER] Validação de empate com kicker para N players na mesa,2025-09-23T19:38:08.884000+00:00,0,151672,10144,To do,10135,In Development,To Do,In Progress,2025-10-17T17:00:09.567000+00:00,1527,3 Sprint 2
10286,PKGS,25569,PKGS-610,10003,Sub-task,[SERVER] Validação de empate com kicker para N players na mesa,2025-09-23T19:38:08.884000+00:00,0,152039,10135,In Development,10146,Done,In Progress,Done,2025-10-21T12:35:53.220000+00:00,1527,3 Sprint 2
10286,PKGS,25573,PKGS-611,10003,Sub-task,[Front] - Validar Unseat e buyin novamente,2025-09-23T19:51:55.827000+00:00,0,145174,10144,To do,10135,In Development,To Do,In Progress,2025-09-24T18:54:57.442000+00:00,1362,3 Sprint 1
10286,PKGS,25573,PKGS-611,10003,Sub-task,[Front] - Validar Unseat e buyin novamente,2025-09-23T19:51:55.827000+00:00,0,146098,10135,In Development,10168,Code review,In Progress,In Progress,2025-09-25T15:42:59.486000+00:00,1362,3 Sprint 1
10286,PKGS,25573,PKGS-611,10003,Sub-task,[Front] - Validar Unseat e buyin novamente,2025-09-23T19:51:55.827000+00:00,0,146284,10168,Code review,10146,Done,In Progress,Done,2025-09-26T12:38:58.961000+00:00,1362,3 Sprint 1
10286,PKGS,25575,PKGS-612,10003,Sub-task,[B] Ajustes no DTO,2025-09-23T19:54:25.828000+00:00,0,144522,10144,To do,10135,In Development,To Do,In Progress,2025-09-23T19:54:31.736000+00:00,,
10286,PKGS,25575,PKGS-612,10003,Sub-task,[B] Ajustes no DTO,2025-09-23T19:54:25.828000+00:00,0,144523,10135,In Development,10168,Code review,In Progress,In Progress,2025-09-23T19:54:34.836000+00:00,,
10286,PKGS,25575,PKGS-612,10003,Sub-task,[B] Ajustes no DTO,2025-09-23T19:54:25.828000+00:00,0,144551,10168,Code review,10146,Done,In Progress,Done,2025-09-23T20:36:02.844000+00:00,,
10286,PKGS,25615,PKGS-613,10003,Sub-task,[BE] Solicitar acesso ao clube,2025-09-24T13:16:53.636000+00:00,0,144875,10144,To do,10135,In Development,To Do,In Progress,2025-09-24T13:38:25.870000+00:00,1362,3 Sprint 1
10286,PKGS,25615,PKGS-613,10003,Sub-task,[BE] Solicitar acesso ao clube,2025-09-24T13:16:53.636000+00:00,0,146218,10135,In Development,10168,Code review,In Progress,In Progress,2025-09-26T04:54:12.877000+00:00,1362,3 Sprint 1
